,OrganizationName,OrganizationDescription
304,Fine Arts College Council,Support student organizations from the College of the Fine Arts.
305,First Generation Leadership Program,"The First Generation Leadership Program (FGLP) focuses on unleashing the skills within a select cohort of student leaders by equipping them with mentorship, networking opportunities, and access to real-world leadership. In an effort to develop the versatile leaders of tomorrow, we cultivate an environment rich in resilience and diplomacy. This will be accomplished through bi-weekly general body meetings,  outreach and social events, and professional guest speakers."
306,First Generation Organization,"The First Generation Organization (FGO) exists to foster a diverse community amongst students who are first in their families to attend college by providing opportunities to strengthen self-awareness, strive for academic excellence, and develop leadership skills while giving back to the UF and global communities."
307,First Responder Gator,"The objectives of this organization shall be:

(1) To provide educational opportunities, such as but not limited to First Responder training, for students interested in the health field, that can be applied within their everyday life and campus involvement.

(2) To provide experience for any person interested in the emergency medical field.

(3) To encourage community health."
308,First-Generation Lawyers,"The organization's goal is to provide first-generation Pre-Law undergraduate students at the University of Florida with the tools necessary to successfully navigate the law school admissions process and their future career in the legal field. Through meetings, panels, workshops, guest speakers, and socials, valuable information will be provided to UF's Pre-Law students. This organization is based on equality, inclusion, respect, and professionalism. First-Generation Lawyers will function as a safe space in which all first-generation pre-law students can find an inclusive community within campus. Overall, this organization's purpose is to provide aspiring legal professionals the tools they may need to successfully overcome any obstacles or challenges that may present to first-generation pre-law undergraduate students."
309,First-year Leadership Experience,"The purpose of the First-Year Leadership Experience (FLE) is to develop first-year students academically, professionally, and culturally. Additionally, FLE aims to raise awareness for South Asian cultures at the University of Florida. By hosting various events and programs, we seek to create a space where first-year students of all backgrounds can find guidance and mentorship in their academics and budding careers, be connected to opportunities on campus, and give back to UF and the South Asian community."
310,First-Year Leadership Program,"The First-Year Leadership Program exists to:
A.	Foster an enduring awareness and unity among Asian and Asian Americans at the University of Florida 
B.	Enrich its members by inspiring passion, developing leadership and citizenship, encouraging academic excellence, and providing an inclusive network.
C.	Educate the student body on Asian and Asian American issues, history, and culture 
D.	Advocate for student, social, and political concerns 
E.	Create programs and events that stimulate involvement in FLP, the University of Florida, and the community 
The First-Year Leadership Program is the first year and transitioning student mentorship organization for the Asian American Student Union that operates in a not-for-profit and non-commercial nature."
311,Fisheries and Aquatic Sciences Graduate Student Organization,"The mission of FAS-GSO is to support the graduate students in the Program of Fisheries and Aquatic Sciences. FAS-GSO accomplishes this goal by promoting interaction among graduate students and facilitating communication between students and faculty. This organization acts as a voice for the graduate students at both the Program and University levels and provides and promotes professional development. These goals shall be achieved through monthly meetings, annual symposia, mentoring new students, social activities, and encouragement of participation in professional societies."
312,Florida Actuarial Student Society,Florida Actuarial Student Society (FASS) is a student-run organization dedicated to informing students about the actuarial profession and helping them network with their peers.  The organization also links students interested in the profession together with companies that recruit for actuarial internships and full-time positions.
313,Florida Anthropology Student Association,"The purpose of FASA is to advance all fields of anthropology at the University of Florida by supporting the professional interests and well-being of anthropology students. FASA encourages student scholarship, promotes research, and fosters interaction between anthropology students, faculty, and people in related social and natural sciences, with an emphasis on acquainting the general public with anthropological research."
314,Florida Aquaculture and Aquarium Club,"1. To educate club members and the public about Aquatic Biomes both foreign and domestic including but not limited to through the use of live flora and fauna contained in artificial aquatic environments, digital presentations, lectures/guest speakers and service projects.
2. To educate members about the means of establishing and sustaining contained aquatic environments.
3. To explore and test means of aquaculture within live aquatic environments."
315,Florida Blue Key,"As a leadership honorary society, the purposes of FBK are to:

(1) Perform and encourage service to the University of Florida.
(2) Recognize, unify, and exemplify leadership.
(3) Promote participation in activities that enhance student life.
(4) Foster a spirit of unity among University of Florida students.
(5) Engage in appreciation of and encourage loyalty to the University of Florida.
(6) Facilitate job placement for active members."
316,Florida Business Leadership Society,"The Florida Business Leadership Society is a professional development business organization at the University of Florida. We pride ourselves on our dedication, professionalism and service. Our mission is to provide all students with the appropriate business acumen and professional development necessary to represent themselves both within the University of Florida and as alumni in the professional realm. Florida Business Leadership Society strives to ensure business students make the most out of their time at University of Florida. As a student-run organization, you can bet that those involved in FBLS truly care about the club, because it’s completely voluntary work. From holding classes on how to prepare for an interview to weekend trips to Lake Wauberg, we’re dedicated to making sure our members understand professionalism while maintaining our sense of fun."
317,Florida Cicerones,"The   Florida   Cicerones   are   the   Official   Ambassadors   of   the   University   of   Florida.      This   role   shall empower   the   organization   to   serve   as   active   liaisons   between   prospective   students,   current students,   alumni   and   the   larger   University   of   Florida   community.   The   Florida   Cicerones   support the   mission   of   the   University   of   Florida   Alumni   Association   and   the   University   of   Florida   by enhancing   the   student   experience   and   fostering   a   lasting   relationship   with   the   university   that   will extend   into   students’   years   as   alumni.   This   organization   shall   be   not   for   profit   and non-commercial   in   nature.
Its   members   will   serve   as   the   official   tour   guides   to   the   University   of   Florida,   aid   in   athletic recruiting   for   the   University   Athletic   Association,   serve   as   the   official   student   hosts   to   the President   of   the   University   and   his   guests,   and   govern   the   programming   for   the   student   members within   the   University   of   Florida   Alumni   Association."
318,Florida Club Gymnastics,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
319,Florida Club Rowing,"Florida Club Rowing shall strive to achieve the highest level of competitive achievement within the sport of rowing, while promoting an atmosphere in which everyone interested is allowed to compete. Our devotion to winning races shall be exemplified by a strong work ethic, tradition, and professionalism.
https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs"
320,Florida Club Softball,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
321,Florida Club Swim Team,"The primary purpose of the Florida Club Swim Team is to allow swimmers to continue competing during their collegiate years at the University of Florida and to teach others about the joys of competitive swimming through friendship and teamwork. These goals shall be achieved through team practices, Collegiate Club Swimming (CCS) sponsored meets, and various club-affiliated events. This organization shall be not-for-profit and non-commercial in nature."
322,Florida Club Synchronized Swimming,"https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs

Florida Club Synchronized Swimming was formed with the purpose of promoting teamwork, respect, and good sportsmanship. Members of this organization are encouraged to work together at all practices and competitions, to show respect and understanding for all teammates, coaches, officers, and to behave in a mature and respectful manner when interacting with teams from other colleges. In addition to these goals, the organization intends to provide an opportunity for its members to make new friends, be active, be involved, and learn new skills while showing support for their university."
323,Florida Cryptocurrency and Alternative Assets Club,"Our goal is to establish an organization that discusses cryptocurrencies, alternative assets, and their place in society. We want to educate students about cryptocurrency and provide an environment where people can discuss the market and factors that are having an impact on crypto and the economy. We believe crypto has a bright future and it is our desire to have discussions with our fellow UF students on a weekly basis. We are excited to note that we have verbal agreements from professional crypto day traders to be guest speakers at our weekly meetings. We will encourage students from all majors to join the club. We will make it a place where students of all majors, backgrounds, and financial expertise can share and learn. We believe our club has unlimited potential and will have a positive impact on the UF community. We are extremely enthusiastic about our idea, are dedicated to hitting the ground running and cannot wait to get started."
324,Florida Empower,"Florida Empower is an organization that focuses on promoting health and wellness for female college students. We emphasize physical activity, inclusivity, and creating an uplifting atmosphere that allows each member to achieve the best version of themselves."
325,Florida Engineering Society,"The University of Florida FES Chapter seeks to foster personal and professional development of gator engineers from all disciplines. Florida Engineering Society strives to help new engineers navigate their way in the field and prepare them to have success in college and their career. Additionally, FES is the only society which represents licensed professional engineers in the State of Florida. FES represents all disciplines of engineering, and works to strengthen the engineering profession by promoting engineering licensure and ethics, advocating and protecting the professional engineer's legal rights and providing continuing education programs for the practicing engineer."
326,Florida Equestrian Club & Teams,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
327,Florida Eta Phi Delta Epsilon,"Phi Delta Epsilon Medical Fraternity creates physicians of integrity with a life-long commitment to our guiding principles of philanthropy, deity, equity, and education."
328,Florida Fencing,"The primary purpose of this organization is to provide fencing opportunities for members across a broad range of skill levels and experiences. The Club is a training ground for leadership, organizational development and teaching. The Club offers opportunities for both competitive and recreational fencing. This organization shall be not for profit or non-commercial in nature.
Waiver: https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs"
329,Florida Flyers,"Florida Flyers is a dynamic community uniting enthusiasts passionate about remote-controlled aircraft, general aviation, aviation manufacturing, and more. Dedicated to fostering camaraderie and knowledge exchange, we introduce newcomers to the diverse aviation world. Beyond our community focus, we actively promote aviation awareness through educational initiatives, workshops, and events. Our mission extends to imparting valuable lessons in aviation management, aeronautical engineering, and decision-making. Committed to inclusivity, we create a supportive environment, collaborating with industry professionals and organizing networking opportunities. In essence, Florida Flyers is a comprehensive resource, igniting a passion for flight while nurturing personal and professional growth within the aviation landscape."
330,Florida Gator Baseball Club,Participation Agreement: https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs.  Win a NCBA World Series while having fun playing the greatest game on the planet.
331,Florida GeoGuessr Club,"The purpose of Florida GeoGuessr Club is to provide students with a chance to learn about other parts of the world through GeoGuessr, which as an online game about geography and guessing where you are on a map through street view software. Florida GeoGuessr Club will hold formal body meetings in which students can socialize and practice GeoGuessr, either for their own leisure or for the sake of competing against other universities in the game."
332,Florida Greek Life Engineers,"Florida Greek Life Engineer’s primary purpose is to help address the stigma associated with being in Greek life and engineering. The club will foster an inclusive environment for engineers from all parts of Greek life to create relationships with their peers. Members of the club will be encouraged to work together with peers who have similar interests and schedules. The club will also build connections between other chapters within the Multicultural Greek Council, Interfraternity Council, National Panhellenic Council, and the Panhellenic Council. Florida Greek Life Engineer’s will host an array of events, workshops, and meetings to promote involvement in the organization as well as campus."
333,Florida Innocence Initiative,"The purpose of Florida Innocence Initiative is to raise awareness of wrongful convictions via discussions of the factors that lead to wrongful convictions and ways that reform may reduce them. Furthermore, we aim to raise money that supports various nonprofit organizations which advocate on behalf of wrongfully convicted individuals."
334,Florida Intellectual Property Alliance,The purpose of FLIPA shall be to bridge the gap between STEM topics and the law by providing education and resources to students interested in pursuing careers that combine these two fields.
335,Florida International Society of Pharmacoepidemiology (ISPE) Student Chapter,The purpose of the Florida ISPE Student Chapter is to explore and foster knowledge for Pharmacoepidemiology. Any interested enrolled UF student may be a member.
336,Florida Invitational Step Show,"The purpose of the FLORIDA’S INVITATIONAL STEP SHOW is to celebrate the legacy of
leadership, scholarship, and community service among the fraternities and sororities of the NPHC,
with FISS held annually, it features the historical and traditional phenomenon of stepping that is
associated with the Black Greek Letter Organizations."
337,Florida Law Softball,"The purpose of Florida Law Softball is to facilitate the participation by Law Students in intercollegiate softball competitions for the benefit of local charities. Members of Florida Law Softball will have the opportunity to compete and network with law students from around the country in a friendly, competitive setting while raising money for charity. The organization strives to connect Law students with law students around the country while promoting the image of the University of Florida Levin College of Law."
338,Florida Line Dancing,"Florida Line Dancing aims to foster a vibrant line-dancing community at the University of Florida and promote cultural enrichment, fitness, and unity. By embracing tradition and promoting innovation, we seek to elevate the dance experience for all and enrich the university’s cultural legacy."
339,Florida Museum Student Association,"The Florida Association of Museum Students (FAMS) was created to serve, connect, and engage students in the Florida Museum and greater UF campus. Founded by a museum PhD student, Adania Flemming, in spring 2019, our association formed to give students who have
a passion for natural history collections a place to both connect with one another and develop skills, knowledge, and participate in opportunities afforded by proximity and access to an on campus natural history museum. The purpose of FAMS is to ensure students within the
FLMNH can capitalize on all opportunities provided by the FLMNH, both in their program of studies and throughout their post-graduation careers. FAMS will meet this purpose through the following goals:
A. Research, Networking and Professional Development: Provide UF students access to FLMNH resources and collections and create a place and opportunities to interact with and share their research and ideas with others.
B. Broader Impacts: Provide liaisons to work with FLMNH Education and Public Programs to help students utilize the powerful resource of educators in Powell Hall. FAMS will work across all layers of the Museum to broaden representation in STEM and introduce people from underrepresented backgrounds to STEM fields.
C. Mental and Social Well-being: Create opportunities for students to engage with each other and develop a healthy community."
340,Florida Not One More,"Florida Not One More is established for the purpose of promoting road safety through community education, political engagement, and advocacy."
341,Florida Players,"Florida Players is an explorative student-run theatre company that provides diverse opportunities for artistic and professional growth through hands-on work in live theatre. Florida Players will produce engaging works that challenge both its members and audiences. Florida Players members will collaborate on all aspects of live theatre, including but not limited to: direction, design, performance, playwriting, stage management, and leadership."
342,Florida Political Review,To allow University of Florida undergraduate students to share their voice on politics and local policy in order to facilitate civic engagement
343,Florida Pre-Law Review,"Florida Pre-Law Review is dedicated to promoting and advancing legal scholarship among undergraduate students. Our mission is to provide a platform for undergraduate students to showcase their legal research and writing skills and to contribute to the broader legal discourse. We strive to publish high-quality articles that are well-researched, thoughtful, and engaging, and that cover a broad range of legal topics. Florida Pre-Law Review seeks to foster intellectual curiosity and academic excellence among undergraduate students by providing a forum for them to explore complex legal issues, develop critical thinking skills, and engage with the legal community. We are committed to publishing diverse perspectives and encouraging discourse on issues of social justice and equity. Through our journal, we aim to support undergraduate students in their pursuit of legal education and careers and to promote the value of undergraduate legal scholarship. We believe that by fostering a community of undergraduate scholars, we can contribute to the development of a more just and equitable society."
344,Florida Running Club,"Florida Running Club is a competitive group of athletes that strive to be the top cross country and track club in the nation.  To reach this goal, the club will compete nationally against other top clubs. This includes NIRCA Regionals and Nationals for Cross Country and at NCAA sponsored meets or races with NCAA teams for Track and Field.  The club will also compete against varsity squads from D-I, D-II, D-III, and NAIA as preparation for those major races.  Funds for the club will be raised through key sponsorships and various other fundraising activities, as well as through funding from the University of Florida.  The club also will maintain its status as a Registered Student Organization (RSO). 
https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs"
345,Florida Ski and Snowboard Club,"The Florida Ski and Snowboard Club is established for the purpose of allowing UF students a means by which they can ski/snowboard together, learn the necessary skills to competently ski/snowboard, and compete in their respective events."
346,Florida Soccer Fans Club,"Florida Soccer Fans Club aims to bring together everyone that is interested in soccer/football here at the University of Florida and create a welcoming environment where all Gators can come to watch, learn about, and enjoy soccer/football. We understand just how important soccer/football can be for some students here at UF and we seek to create a space where all students can come to either learn more about the sport or experience it alongside others who are just as passionate as they are. Like many other sports, soccer/football sometimes also deals with serious social injustice problems. Because of this, we support organizations which actively fight against these injustices. Our main objective is to promote the creation of long-lasting friendships and connections through our shared passion for the ‘beautiful game’."
347,Florida Society of Health-System Pharmacists-Student Division Jacksonville,"1. The purpose of the Florida Society of Health-System Pharmacists is to represent its members and to provide leadership to enable its members practicing in organized healthcare settings to: (1) provide high quality pharmaceutical care services that foster the efficacy, safety and cost effectiveness of medication use; (2) contribute to programs and services that emphasize the health needs of the public and the prevention of disease; (3) promote pharmacy as an essential component of the healthcare team. 

2. The purpose of the student society is to make students aware of pharmacy practice in health systems; provide information to students about career directions in and credentials needed for pharmacy practice in health systems; and encourage membership and participation in the Florida Society of Health-System Pharmacists (FSHP) and the American Society of Health-System Pharmacists (ASHP) as a student and upon graduation."
348,Florida Society of the Social Sciences,"F3S is led by graduate students at UF who aim to (1) cross-fertilize the social and humanistic sciences in Florida, and (2) provide spaces where emerging scholars can grow and cooperate while promoting social justice, (3) provide opportunities for all students to develop their professional skills and research agendas."
349,Florida Student Policy Forum,"The Florida Student Policy Forum will provide a nonpartisan space dedicated to the study and debate of policy that is relevant to the people of Florida and the United States of America. Our members will conduct research, publish analysis, and propose legislative solutions that improve our community, state, and nation."
350,Florida Students for the Exploration and Development of Space,SEDS is an international organization devoted to the promotion and development of space and space-related activities and competitions.
351,Florida Students of Accounting Council,The Florida Student of Accounting Council (FSOAC) is part of the campus-wide Board of College Councils. The Council serves as a liaison between accounting students and faculty. It sponsors professional and social programs for the benefit of its members and participates in projects that serve our community. Members have the opportunity to attend various events to meet other students interested in the field of accounting.
352,Florida Swing Dancing Club,The goal of our club is to teach and spread the joy of swing dancing (Lindy Hop) across the Gainesville and University of Florida community. We travel and connect with others across the United States at Lindy Hop exchanges and workshops.
353,Florida Technology Pathways,The purpose of the Florida Technology Pathways organization is to assist students to enter careers in the technology industry. We will have an 8-week bootcamp style program preparing students for the rigorous recruitment process for internships and full-time roles within the technology industry.
354,Florida Undergraduate Law Review,"At the Florida Undergraduate Law Review, we are dedicated to fostering a dynamic and inclusive publication for undergraduate students passionate about law. Recognizing the imperative to develop legal acumen for the aspiring undergraduate, we strive to reshape the future of legal scholarship by providing a unique space to challenge conventions, develop legal writing skills, and publish work. By extending an opportunity denied to the vast majority of undergrads, we hope to nurture a community of forward-thinking individuals committed to making a positive impact in the legal field and beyond."
355,Florida Undergraduate Moot Court,"The Florida Undergraduate Moot Court Team is established for the purpose of developing advocacy and writing skills, and to encourage UF students to pursue a legal education."
356,Florida Women in Business,"Florida Women in Business is a professional development organization that gives women the tools to succeed and break down barriers in college and beyond. Our vision is to empower women in a supportive environment and provide each member a unique experience. For example, our Mentor/Mentee program offers you a one-on-one relationship with a veteran FWIB member whose goal is to help you find your passion and be an advocate for your success. We also offer various committees that help you develop your strengths. Finally, we have inspiring speakers from prominent companies and the community who will offer their personal experiences and advice. When you join Florida Women in Business, you know you’re joining a family of dynamic women who will help you in all of your endeavors and will cheer you on every step of the way.

Stay Connected!

Join our Facebook group: https://www.facebook.com/groups/fwibuf/

E-mail us with any questions that you may have at:
fwibuf@gmail.com

Visit our website: http://www.fwibuf.com/

Check us out on Instagram: @fwibuf"
357,Floridance,"Floridance is the University’s original student run dance company. We specialize in almost every style of dance including ballet, hip-hop, jazz, contemporary, modern, and tap! We pride ourselves in creating a family-like atmosphere for all of our dancers by incorporating socials and community volunteering. We are a performance based company, and any member has the opportunity to choreograph a solo, small group, or large group piece for our bi-annual showcase."
358,Fluidity,"The purpose of Fluidity is to defy gender norms and promote queer creativity through the arts and fashion. Through elements of fundraising, collaboration, and empowerment, Fluidity functions to curate a safe space for all LGBTQIA+ students at the University of Florida.

Through creativity, the fashion show develops a greater presence of gender,
sexuality, and LGBTQIA+ awareness throughout the campus. Aside from creating a space in
which students across campus are able to express their fluidity through fashion, the organization
hopes to build a platform on which queer creative voices are amplified. Collaborative work with student organizations and community groups aim to build a unified community around the arts and the experience of being queer and/or gender fluid in Gainesville."
359,Food Animal Club (SCAABP),The purpose of this club is to broaden experiences of veterinary students interested in food animal medicine while providing opportunities beyond the vet school curriculum.
360,Food Product Development Club,"The purpose of the Food Product Development Club shall be to structure, encourage, and guide students through the process of food product development competitions. These competitions encompass real job experiences leading to practicing and implementing skills learned during their coursework. Students will grow in their knowledge as well as build their network with other universities and companies for future job opportunities. Furthermore, food product development encourages involvement from other students of various majors. Thus we aim to educate the club member base at the University of Florida about the opportunities they could receive through national food product development competitions."
361,Food Recovery Network,"The Food Recovery Network was established to implement hunger relief programs for communities and improving the sustainability of local restaurants, schools and other organizations that conduct food service. The Food Recovery Network also aims to provide sustainability and nutrition education to the community. Our goal is making a lasting impact on the reduction of food waste and food insecurity."
362,Food Science and Human Nutrition Club,"To promote and share knowledge of food science, dietetics, and nutritional sciences throughout the UF and Gainesville community. To serve as a resource to students to develop professional knowledge of food science, dietetics, and nutritional sciences. To serve the local community through education of healthy eating practices and food production."
363,Food Science and Technology Graduate Student Association,The purpose of the organization is to serve as a networking platform for food science graduate students (but also inclusive to other major) who are interested to have professional development in food science and to connect other graduate students in this field. The 3 core values of this organization are 1) Networking/Social 2) Professional development 3) Industrial connection. There is a satellite campus for food science department at lake Alfred. This organization will also help connecting students from both Lake Alfred and main campus.
364,Footprints: Buddy and Support Program,"Footprints: Buddy and Support Program is a student-run volunteering and community service organization benefiting UF Health Shands Children’s Hospital. Our members volunteer for three hour shifts every week in the Pediatric Immunocompromised Units 41 (outpatient) and 42 (inpatient). By engaging patients in one-on-one play and creative art projects, we strive to help “kids just be kids” during treatments through in person volunteering and remote Child Life TV production. Outside of the hospital we also engage with the Gainesville community outside of the hospital by partnering with organizations such as the Ronald McDonald House, Gift of Life, Climb For Cancer Foundation, The Dooley Foundation, Dance Marathon, and Stop Children’s Cancer. One of our primary goals is to actively engage like-minded UF students with experiences and relationships that will transcend their academic pursuits. We create a close family-like atmosphere among members through social events, a mentorship program, and general body meetings."
365,For Change,"For Change’s purpose is to offer opportunities for dental students to interact and build relationships with the underserved community within Florida. We give dental students experiences in giving dental advice to others, which helps build confidence in their future career."
366,Forensic Science Association,"This organization encourages unity among all students who are interested in forensic science. The Forensic Science Association offers students the opportunity to enrich their educational curriculum through contact with agencies and individuals who have professional experience in the field. FSA will provide resources for obtaining careers and inform students about various professions and opportunities across a broad range of disciplines within forensic science. FSA will facilitate opportunities for students to network with professionals, academic authorities, other students, graduates, and the community. FSA strives to foster a general feeling of community among its members and aids students in developing professional competencies."
367,Forestry Graduate Student Organization,"The purpose of FGSO is to provide a sense of community within the School of Forest Resources and Conservation, and provide professional and networking opportunities to graduate students."
368,Frank Herbert Appreciation Society,"The Frank Herbert Appreciation Society aims to provide students an area to discuss their interests in the works of Frank Herbert, to appreciate all media related to his works and to organize environmental cleanups in the spirit of Frank Hebert."
369,French Club: le cercle francais,"Le Cercle Français is open to anyone interested in the French language and francophone cultures. We host various meetings throughout the year, offering opportunities to speak French, socialize, and learn."
370,Freshman Leadership Council,"FLC's mission is to provide personal, professional, and leadership growth opportunities for a select group of freshmen students through service, programming, and educational experiences that impact the UF student body and the surrounding community. 
FLC's vision is to empower freshmen to create change at UF and beyond while building an unshakable community of leaders.
FLC's pillars are commitment, service, unity, diversity, innovation, and integrity. 
FLC's goals will be accomplished through a year-long curriculum, programming projects, a Mentor-Mentee program, an active Alumni network, and socials."
371,Freshman Leadership Engineering Group,"Our mission is to build well-rounded Gator engineers who exemplify the values of leadership, passion, and growth through service to their college and community."
372,Friends for Life of America,"Friends for Life of America is a student-run organization devoted to making a difference in the lives of children and families affected by cancer through fundraising, volunteering, and raising awareness."
373,Friends of MSF Gainesville Chapter,"Our organization aims to promote awareness of global health issues and the international organization, Doctors Without Borders/Médecins Sans Frontières', humanitarian work. This club will participate in various fundraising activities, as well as provide opportunities for our members to be better prepared for their future careers in healthcare via service events, skills clinics, guest speakers, etc. We welcome all pre-health students, or anyone interested!"
374,Future Business Leaders of America - Phi Beta Lambda,"FBLA is an organization that is there for YOU. Here at the UF chapter, we strive to promote career related opportunities and build a community of leaders - all while giving back to UF and the local community.  In addition to workshops, socials, and community service activities UF's FBLA also competes in a variety of competitions on the state and national level. Any student is eligible to compete and prizes range from medals and trophies to up to $1,200 per competition on the national level. For more information and a list of available competitions, please visit our website or Instagram page!"
375,Gainesville Brass Band Association,"The purpose of this organization shall be: to maintain a liaison among those who take a significant interest in the British Brass Band music literature, to promote and improve the image of brass band and its use as a means of artistic expression, to coordinate and co-sponsor brass band performances, and to encourage social communication with fellow brass players in the area."
376,Gainesville Environment Council,The purpose of Green Environmental Gators is to clean the environment near UF’s campus (especially parks and neighborhoods) where pollution is present and around Alachua County. This organization gives students a direct way to benefit students around the environment.
377,Gainesville For All Chapter,"""The purpose of this organization is to connect the University of Florida students with their off-campus community through involvement in learning about and actively seeking meaningful solutions to systemic persistent problems of race and poverty in Gainesville especially concerning areas of health and transportation, family support, education, and criminal justice. This will be done through community meetings, volunteer events, and discussion forums, etc. The goal of this chapter is to change negative patterns occurring in marginalized populations due to poverty and other discriminations through direct grassroots activism alongside GNV4ALL Inc., a local nonprofit 501(c)(3) organization"
378,Gainesville Hillel,"Hillel is an organization that inspires future leaders to positively impact the world through a Jewish lens by connecting them with Israel, travel experiences, spirituality, doing good, career advancement opportunities, and entrepreneurial endeavors. We strive to create a sense of community for all students. Our mantra is ""Tradition, Inspiration, Activation"" and we'd love to help you learn why."
379,Gainesville Latin Dance Club,"Gainesville Latin Dance Club is established to introduce the dance of Bachata, and its related styles, to the student body. The primary purpose of the organization is to provide a safe, enjoyable, and welcoming environment for students to learn how to dance socially. The organization will achieve this by holding classes to teach these dances, as well as events where students can practice what they have learned. Dance styles taught may also teach other styles of dance to augment the students understanding of how other dances influence bachata, by offering classes including (but not limited to) bachata, bolero, merengue, son, rumba, salsa, tango, kizomba, and Brazilian zouk. The organization will also educate its members on the history of the dances, the music they were inspired from, and their connection to Hispanic and Latino culture."
380,Gainesville Thrives,"Gainesville Thrives’ primary purpose is to provide students with opportunities to grow their skills and leave a positive impact on the city of Gainesville. The mission of the organization runs in tandem with that of the University of Florida - “to enable our students to lead and influence the next generation and beyond for economic, cultural and societal benefit.” 
Through training, workshops, and mentorships with local community leaders, members are able to serve those in need locally, improve their skills, and foster a strong desire to do good in whatever field they find themselves in. Members may contribute as tutors, book readers, and other volunteer positions to directly promote and provide equal literacy to all the children of Gainesville; leaving an impact that lasts longer than the few semesters a student spends in Gainesville."
381,Game Developers' Association,"DevLUp (Formerly UF Game Developers' Association) exists as a hub of Programming and Digital Art at UF with an emphasis on real-time graphics and videogame development. More than anything we aim to provide education and resources to hobbyists and preprofessional students alike, as well as a vibrant and engaged community."
382,GAMMA ETA,"Gamma Eta Sorority, Inc. is a diverse sorority that aims to foster strong female leadership within the University of Florida campus. We challenge our members to help them reach their maximum potential. We are a social sorority that stands for the pillars of sisterhood, service, strength, scholarship, leadership, unity, and diversity. We seek to make a mark on this campus and on each other."
383,GAMMA PHI BETA,The purpose of the Gamma Phi Beta is to support and inspire the lifelong development of women.
384,Gator Alliance for World Health,"Gator Alliance for World Health aims to not only shed light on health disparities at large in our communities but also around the world. We strive to provide our members with the tools to not only become more educated and aware but also with the opportunities to make a difference both at home in our local community through volunteering events as well as globally with our drives and annual medical aid trip.

Through volunteering, hosting health fairs, and local and international involvement, Gator Alliance for World Health educates our members on the health care deficiencies that exist throughout the world. By partnering with local organizations we create awareness of the needs and situations of people in our community. 

Gator Alliance for World Health is also intended to create well-rounded individuals. Through socials, we ensure a friendly and open environment among members and officers alike. Our meetings involve guest speakers whose purpose is to educate and inform members about the various local and international opportunities to get involved. In addition, our organization also strives to foster future health care providers by giving our members the opportunities to establish connections with physicians, and to learn about the various specialties within medicine and health disparities. 

Due to the varied nature of this organization, Gator Alliance for World Health, will cater to students of all majors and interests including, but not limited to: science, finance, art, and education."
385,Gator Amateur Radio Club,"Promote international goodwill through communicating with other amateur radio operators, further the art of radio through experimentation and research, and provide support in case of an emergency."
386,Gator Anime,"We at Gator Anime provide a social space to enjoy Japanese anime and pop culture, host anime-related events and contests, as well as hold the annual SwampCon convention in the Reitz Union!"
387,Gator Astrobiology,"Gator Astrobiology seeks to inform members about opportunities within astrobiology, advise them on how to succeed in the field, and educate the public about astrobiology. The club also seeks to provide opportunities for students interested in astrobiology to network socially and professionally."
388,Gator at Remote Area Medical,"The purpose of GRAM is to serve as a student chapter of the nonprofit, Remote Area Medical, to provide medical, dental, and vision services to medically underserved areas and to provide UF students with the opportunity to partake in essential medical services. 

We aim to prevent pain and alleviate suffering by providing free, quality healthcare to those in need."
389,Gator Awaaz,"The purpose of Gator Awaaz is to encourage and explore music that fuses Western and South Asian culture through a variety of Bollywood, Western, Carnatic, and other traditional music styles through vocals and a variety of musical instruments. The team focuses on building a community of musical artists that share a passion for music and showcases their work both on and off campus. Gator Awaaz thereby encourages diversity and spreads awareness of South Asian and Asian-American experiences through music."
390,Gator Badminton Club,"To provide a welcoming atmosphere, collective practice, and widespread competition of badminton enthusiasts and all interested participants throughout the University of Florida.

To join this organization, please submit the following waiver: https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs"
391,Gator BassMasters,"Gator BassMasters serves as a competitive, collegiate bass fishing club, allowing University of Florida students the chance to compete against some of the best colleges in the nation in order to bring bass fishing titles to the university."
392,Gator Beach Volleyball,https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
393,Gator Bhangra,"The purpose of the organization is to promote the practice and performance of Bhangra, a traditional folk dance that originates from the Punjab region of India, on our campus here at the University of Florida."
394,Gator Bikers Motorcycle Club,The purpose of the Gator Bikers Motorcycle Club is to encourage safe riding among the UF student population who are interested in riding motorcycles. The club exists to bring together students that have an interest in motorcycles and the community surrounding it. Gator Bikers Motorcycle Club will partner with other clubs on campus to bring safety and awareness to the motorcycle community. Fundraising events will be purposed towards providing underprivileged members a means to adequate safety gear in addition to providing maintenance and knowledge towards members’ motorcycles.
